,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,18.232419729232788,4.498044607888596,0.11551149686177571,0.005001960022822457,0.0001,"(98,)",0.001,"{'alpha': 0.0001, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.001}",0.9911816578483245,0.9924768518518519,0.9924768518518519,0.9920451205173428,0.0006105603085642518,3
1,12.582444588343302,2.0464968893040343,0.11529342333475749,0.00725252074876788,0.0001,"(98,)",0.03,"{'alpha': 0.0001, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.03}",0.9819499559082893,0.9855324074074074,0.986386684303351,0.9846230158730158,0.0019220448199775795,16
2,116.91459798812866,74.74672770214936,0.12937474250793457,0.00820152444167847,0.0001,"(98,)",0.04,"{'alpha': 0.0001, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.04}",0.9812885802469136,0.9904651675485009,0.9907131834215167,0.9874889770723104,0.004385511643477128,10
3,165.4997511704763,3.3014095552268543,0.22939332326253256,0.09855691631467353,0.0001,"(98,)",0.1,"{'alpha': 0.0001, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.1}",0.9876818783068783,0.9920910493827161,0.9903824955908289,0.9900518077601411,0.0018151608239170781,5
4,27.025415658950806,5.778403647329354,0.17855103810628256,0.012065586604351416,0.0001,"(98, 98)",0.001,"{'alpha': 0.0001, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.001}",0.9903824955908289,0.9912367724867724,0.9918430335097002,0.9911541005291005,0.0005991208795973019,4
5,24.257464090983074,8.1698787386534,0.17366623878479004,0.0012992691289136634,0.0001,"(98, 98)",0.03,"{'alpha': 0.0001, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.03}",0.869102733686067,0.8156415343915344,0.9830246913580247,0.8892563198118754,0.06980403801268693,44
6,16.55746563275655,1.3534509959756107,0.1906911532084147,0.002256734007683635,0.0001,"(98, 98)",0.04,"{'alpha': 0.0001, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.04}",0.7125771604938271,0.7471064814814815,0.7313161375661376,0.7303332598471487,0.014113658595487818,45
7,51.96856641769409,19.183369264284977,0.2416550318400065,0.055759634847744835,0.0001,"(98, 98)",0.1,"{'alpha': 0.0001, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.1}",0.5,0.5,0.5,0.5,0.0,48
8,19.61551562945048,1.0044174451808525,0.12230690320332845,0.004617036624174569,0.0001,"(114,)",0.001,"{'alpha': 0.0001, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.001}",0.9907131834215167,0.9930004409171076,0.9926421957671958,0.99211860670194,0.0010044885414065997,2
9,9.853362639745077,0.19309926643393235,0.12006497383117676,0.0010362350766658583,0.0001,"(114,)",0.03,"{'alpha': 0.0001, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.03}",0.9813988095238095,0.9846505731922398,0.9854772927689595,0.9838422251616695,0.0017604121296138225,18
10,163.89012869199118,1.3945600515079442,0.13283507029215494,0.020238129917504084,0.0001,"(114,)",0.04,"{'alpha': 0.0001, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.04}",0.9869929453262787,0.9906305114638448,0.9915950176366843,0.9897394914756026,0.001981616318755306,7
11,174.2600653966268,8.562728775976066,0.2734556198120117,0.1047456988522864,0.0001,"(114,)",0.1,"{'alpha': 0.0001, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.1}",0.98817791005291,0.9921461640211641,0.9889495149911817,0.9897578630217518,0.0017179114825927693,6
12,40.71979943911234,3.8149384499168386,0.22018583615620932,0.0032072316474026966,0.0001,"(114, 114)",0.001,"{'alpha': 0.0001, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.001}",0.990244708994709,0.9934689153439153,0.9928075396825397,0.992173721340388,0.001390484547127756,1
13,24.05194552739461,4.0834639016377166,0.2092293898264567,0.010129280141428774,0.0001,"(114, 114)",0.03,"{'alpha': 0.0001, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.03}",0.9721119929453262,0.9856426366843033,0.8147597001763669,0.9241714432686655,0.07756273471570885,38
14,20.046814282735188,3.65246763128637,0.21114190419514975,0.02493515060491695,0.0001,"(114, 114)",0.04,"{'alpha': 0.0001, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.04}",0.6609347442680776,0.7693727954144621,0.7350639329805997,0.7217904908877131,0.04525366234056925,46
15,22.12930695215861,7.261343213568266,0.20207500457763672,0.013610423625290316,0.0001,"(114, 114)",0.1,"{'alpha': 0.0001, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.1}",0.500027557319224,0.5,0.5,0.5000091857730746,1.2990644863071415e-05,47
16,73.181618531545,22.32826488981091,0.37937132517496747,0.19619364872927378,0.26,"(98,)",0.001,"{'alpha': 0.26, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.001}",0.9853395061728395,0.9915123456790124,0.9911265432098766,0.9893261316872429,0.0028233665637989063,9
17,33.207441647847496,6.602683012966957,0.14478397369384766,0.057530766755844245,0.26,"(98,)",0.03,"{'alpha': 0.26, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.03}",0.9571483686067019,0.9588844797178131,0.9586364638447972,0.9582231040564374,0.0007666681957255179,19
18,28.89205002784729,4.7080896410448245,0.1567856470743815,0.06834604208273827,0.26,"(98,)",0.04,"{'alpha': 0.26, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.04}",0.9484402557319224,0.9528769841269841,0.9544477513227513,0.9519216637272193,0.0025438787468630582,25
19,39.766828854878746,14.260664710652799,0.12427965799967448,0.01126054176860179,0.26,"(98,)",0.1,"{'alpha': 0.26, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.1}",0.931630291005291,0.9397597001763669,0.9390432098765432,0.9368110670194003,0.0036750210583263655,35
20,93.3942433198293,42.177726277089974,0.8333156903584799,0.49962727342331925,0.26,"(98, 98)",0.001,"{'alpha': 0.26, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.001}",0.9771274250440917,0.9879023368606702,0.9878747795414462,0.9843015138154027,0.005072859294024022,17
21,50.43207542101542,12.61056187247563,0.2641911506652832,0.05835045925066827,0.26,"(98, 98)",0.03,"{'alpha': 0.26, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.03}",0.953235229276896,0.9548335537918872,0.9575617283950617,0.9552101704879483,0.001786249097351994,22
22,39.192319552103676,4.322943343322645,0.19171524047851562,0.011956914740866622,0.26,"(98, 98)",0.04,"{'alpha': 0.26, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.04}",0.9515266754850088,0.9508101851851852,0.954998897707231,0.9524452527924749,0.001829237792165485,23
23,33.357439041137695,6.727269872580116,0.17616097132364908,0.005670670082651973,0.26,"(98, 98)",0.1,"{'alpha': 0.26, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.1}",0.9319334215167548,0.9400628306878307,0.8411044973544973,0.9043669165196943,0.04485623020527177,43
24,91.70561035474141,20.265205019526988,0.3577113151550293,0.07328466039408366,0.26,"(114,)",0.001,"{'alpha': 0.26, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.001}",0.9853119488536155,0.9919808201058201,0.9908785273368607,0.9893904320987654,0.0029188218539736833,8
25,41.52619727452596,23.53440897272212,0.1167150338490804,0.01702148298420056,0.26,"(114,)",0.03,"{'alpha': 0.26, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.03}",0.9540343915343915,0.9607308201058201,0.9568176807760141,0.9571942974720753,0.0027467458327841113,20
26,53.72290086746216,16.170719523487925,0.20580299695332846,0.11258518083530591,0.26,"(114,)",0.04,"{'alpha': 0.26, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.04}",0.9467592592592593,0.953180114638448,0.9502314814814815,0.9500569517930629,0.002624206725751445,27
27,40.548020680745445,1.0239416029288995,0.12830710411071777,0.022025525607256683,0.26,"(114,)",0.1,"{'alpha': 0.26, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.1}",0.923804012345679,0.9255952380952381,0.9381338183421517,0.9291776895943563,0.006375019165031933,36
28,69.60417715708415,20.333437348211284,0.610084613164266,0.5665602770354717,0.26,"(114, 114)",0.001,"{'alpha': 0.26, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.001}",0.9761078042328042,0.9893628747795414,0.9906856261022927,0.9853854350382129,0.006582463712347625,12
29,50.890259424845375,2.882034946242451,0.24601085980733237,0.015345644176191825,0.26,"(114, 114)",0.03,"{'alpha': 0.26, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.03}",0.9527116402116402,0.955054012345679,0.9585262345679012,0.9554306290417401,0.0023886895966588736,21
30,46.44917996724447,4.943844445368721,0.19128735860188803,0.004799245362603606,0.26,"(114, 114)",0.04,"{'alpha': 0.26, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.04}",0.9481095679012346,0.9536485890652557,0.955109126984127,0.9522890946502057,0.003014921296611178,24
31,59.47911206881205,19.602677649428998,0.23808463414510092,0.0031916796741673537,0.26,"(114, 114)",0.1,"{'alpha': 0.26, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.1}",0.9331459435626103,0.9420469576719577,0.9084270282186949,0.9278733098177544,0.014222644247024687,37
32,85.86927843093872,20.067440121119922,0.19265302022298178,0.023582203393947725,0.96,"(98,)",0.001,"{'alpha': 0.96, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.001}",0.9809303350970018,0.9874338624338624,0.986441798941799,0.9849353321575545,0.002860774788333583,14
33,31.807775576909382,8.519785604235866,0.11127424240112305,0.0023709004278634318,0.96,"(98,)",0.03,"{'alpha': 0.96, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.03}",0.9475308641975309,0.953180114638448,0.9479717813051146,0.9495609200470311,0.002565479694176205,29
34,28.695666631062824,10.399746784690777,0.10876234372456868,0.0011623805546503963,0.96,"(98,)",0.04,"{'alpha': 0.96, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.04}",0.9403935185185185,0.9474757495590829,0.9303902116402116,0.9394198265726043,0.007009039805777028,34
35,24.510599454243977,4.839436532199565,0.11266016960144043,0.002617720977500686,0.96,"(98,)",0.1,"{'alpha': 0.96, 'hidden_layer_sizes': (98,), 'learning_rate_init': 0.1}",0.9178240740740741,0.9216545414462081,0.9326499118165785,0.9240428424456203,0.006283807361762571,39
36,102.37389175097148,6.933384998374612,1.060697317123413,0.3961140546918244,0.96,"(98, 98)",0.001,"{'alpha': 0.96, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.001}",0.98057208994709,0.9904376102292769,0.988233024691358,0.9864142416225748,0.004227931054154749,11
37,34.54480131467184,2.3710705150951648,0.18268505732218424,0.0030135743495922317,0.96,"(98, 98)",0.03,"{'alpha': 0.96, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.03}",0.9450231481481481,0.9486882716049383,0.955136684303351,0.9496160346854792,0.00418062687810171,28
38,30.705408334732056,2.188412806578835,0.1809983253479004,0.005040299146385902,0.96,"(98, 98)",0.04,"{'alpha': 0.96, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.04}",0.9377755731922398,0.9449129188712522,0.9446097883597884,0.9424327601410935,0.003295452901011189,32
39,31.423179626464844,2.3055485163704303,0.17767739295959473,0.004515582836619789,0.96,"(98, 98)",0.1,"{'alpha': 0.96, 'hidden_layer_sizes': (98, 98), 'learning_rate_init': 0.1}",0.9211585097001763,0.9196152998236331,0.9211585097001763,0.9206441064079952,0.0007274761123318423,40
40,103.9143253962199,13.123215319713738,0.48166433970133465,0.07465449709511512,0.96,"(114,)",0.001,"{'alpha': 0.96, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.001}",0.9798555996472663,0.9871307319223986,0.9874614197530864,0.9848159171075839,0.0035100712804432797,15
41,28.269587993621826,3.5294153969557462,0.10787073771158855,0.002473815569615566,0.96,"(114,)",0.03,"{'alpha': 0.96, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.03}",0.9453538359788359,0.9509204144620811,0.9491016313932981,0.9484586272780717,0.0023175834715899687,30
42,36.73189894358317,6.917368144249744,0.10366733868916829,0.0002498411587116918,0.96,"(114,)",0.04,"{'alpha': 0.96, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.04}",0.9385747354497355,0.9482749118165785,0.9417713844797179,0.9428736772486773,0.00403605768032291,31
43,32.93731506665548,9.073919453330438,0.10718067487080891,0.006612117350628919,0.96,"(114,)",0.1,"{'alpha': 0.96, 'hidden_layer_sizes': (114,), 'learning_rate_init': 0.1}",0.920001102292769,0.9138558201058201,0.9233355379188712,0.9190641534391535,0.0039263780866924764,41
44,126.47237467765808,24.892191823910654,1.3250069618225098,0.12168481849945943,0.96,"(114, 114)",0.001,"{'alpha': 0.96, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.001}",0.982501102292769,0.9884810405643739,0.9851741622574955,0.9853854350382129,0.00244586625062987,12
45,37.572816610336304,4.290254526402198,0.21585528055826822,0.020625362899440045,0.96,"(114, 114)",0.03,"{'alpha': 0.96, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.03}",0.9488811728395061,0.9522982804232805,0.9506172839506173,0.9505989124044679,0.00139508881319505,26
46,36.802329778671265,4.967302959581316,0.2014909585316976,0.0065187564342332836,0.96,"(114, 114)",0.04,"{'alpha': 0.96, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.04}",0.9380787037037037,0.9412202380952381,0.9443617724867724,0.9412202380952381,0.0025650520895546705,33
47,35.75549372037252,6.863081019759317,0.21257567405700684,0.016314114029204685,0.96,"(114, 114)",0.1,"{'alpha': 0.96, 'hidden_layer_sizes': (114, 114), 'learning_rate_init': 0.1}",0.9162533068783069,0.9139936067019401,0.9141038359788359,0.9147835831863609,0.0010402254311355052,42
